,post,target
0,new @<user> # moonpartner <url> <url>,1
1,i love each and every one of you thank you for this <url>,1
2,lots and lots of love <url>,1
3,Mars Attacks <url>,1
4,@<user> whole lotta YES,1
5,i feel personally attacked <url>,1
6,my favorite time of year wishing you a beautiful day,1
7,nights with @<user> httpstcotmqa6YW5s7 # moonpartner <url>,1
8,A lil @<user> to brighten your day # moonpartner <url> <url>,1
9,last night on @<user> httpstcow4sUAi0oYA,1
10,watch me get ready for the Met Gala with @<user> httpstco7ld086rG17,1
11,same building i had my sweet 16 at full circle moment <url>,1
12,Oklahoma is trying to execute an innocent man on October 28th Julius Jones has been on death row for over 20 years for a murder he did not commit Take action to demand # JusticeForJulius now <url> <url>,1
13,new Jacquemus campaign by Drew Vickers <url>,1
14,i love this concept <url>,1
15,Its finally hereMeet my new @<user> Platinum Teeth Whitening Pen 2x the whitening power Gentle for all smiles Shop now <url> <url>,1
16,woo glad everyones enjoying <url>,1
17,New from @<user> The Moon Dust Advanced Fresh Breath amp Balancing Paste BoosterWith adaptogens for calming amp soothing benefits on your smile a super sparkly crystalized mint formula for breath freshening # moonpartner <url> <url>,1
18,had a lovely time <url>,1
19,you can say that again <url>,1
20,i love you guys,1
21,im always proud of all of you YOU inspire me love you gorgeous <url>,1
22,proud of you youre beautiful <url>,1
23,one night only <url>,1
24,Summer smiles A lil surprise from @ MoonOralCare is waiting for youhttpstcoFas8wPKVCH # moonpartner <url>,1
25,@<user> @<user> so happy you got some,1
26,love you <url>,1
27,@<user> always dropping the freshest of oral care Shop their new GINGER MINT WHITENING TOOTHPASTEhttpstcosxo8HxJpPQ # moonpartner <url>,1
28,@<user> @<user>,1
29,were launched in Vegas @<user> <url>,1
30,The favorite in my @<user> oral beauty routine Shop my Teeth Whitening PenhttpstcopiFcFZ8YQi # moonpartner <url>,1
31,yay NY here we come <url>,1
32,dreams <url>,1
33,all new items up on my kloset <url>,1
34,im so happy to hear that be the best YOU love you <url>,1
35,i cant wait for there to be more opportunities for you to get to know me even more and hopefully i get to know you someday love you <url>,1
36,whos watching our # KUWTKReunion,1
37,The wait is over @<user> sold out MOON DUST is back in stock Shop my oral beauty favehttpstcoXuk5AqLNBb # moonpartner <url>,1
38,im not good at goodbyes they have been with us for so long family <url>,1
39,wow great memories and blessings <url>,1
40,i just shed a tiny tear also this collab <url>,1
41,@<user> i love my people so so much,1
42,this was so fun <url>,1
43,The 3rd episode from my series with @<user> on mental health out now httpstcoUxnd0MFVUq,1
44,so glad you enjoyed <url>,1
45,on my way see you in 10 <url>,1
46,hahah classic shes so silly <url>,1
47,get ready <url>,1
48,I have struggled with anxiety and panic attacks since i was a little girl I wanted to dive deeper to better understand what i was feeling but more so to share this information with others who may struggle too i am excited for you to watch my 4 part series fist ep out now <url>,1
49,NEW # VogueHongKong covers by # ZoeyGrossman <url>,1
50,@<user> 2nd birthday # httpsbitly3guF7fl # moonpartner <url>,1
51,# BurberryAW21 <url>,1
52,hahaha <url>,1
53,how did you find this video tiny kenny this and my horses is what i lived for <url>,1
54,hiiiii <url>,1
55,Its the minis for me @ MoonOralCare OnTheGo Kit are my favorite little items to bring with me # moonpartnerhttpstcofYzl8LnlcD <url>,1
56,mom this looks like a pregnancy announcement <url>,1
57,Oral beauty @<user> # moonpartnerhttpstco9oG3iS9FUA <url>,1
58,My monthly @ MoonOralCare reupShop the new OnTheGo Kit # moonpartnerhttpstcoIFmFkaLHJc <url>,1
59,coming 325 my fragrance with @<user> @ KimKardashian <url>,1
60,i love yall very much dont forget it <url>,1
61,lmao i love him happy bday buttface @<user> <url>,1
62,precisely <url>,1
63,THE FIRST EVER @<user> Gelso so excited about this one # moonparterhttpstcoz3NOWyhOlT,1
64,im a fun drunk @<user> <url>,1
65,@<user> SOO GOOD whats your instagram acct ok if i post,1
66,@<user> YESSSS MAAM,1
67,@<user> did you paint this i love,1
68,i am an extremely lucky girl appreciative of all that i have but i want you to know i have bad days too and that i hear you you are beautiful just the way you are its not always as perfect as it may seem <url>,1
69,vday is coming @<user> BTS <url>,1
70,my space in @<user> Sept 2020 <url>,1
71,a new day a good day,1
72,sweetsour <url>,1
73,Secret to my smile @ moonoralcare # moonpartner <url> <url>,1
74,this just <break>s my heart <url>,1
75,weeee <url>,1
76,@<user> i am grateful to have you,1
77,@<user> youre the angel,1
78,@<user> thankful for YOU your support means the world,1
79,@<user> exactly happy thanksgiving,1
80,in this past year ive found it hard to keep my spirits up at times and have struggled a bit with my mental what gets me through it is gratitude be thankful today for what you have sending love,1
81,check out my beauty secrets with @<user> httpstcoClK03Gxs8h,1
82,check out the new items added to Kardashian Kloset <url>,1
83,im emotional relieved and filled with joy this morning,1
84,this is sooooo cute and creative thank you i hope to meet you one day <url>,1
85,@<user> LOVE YOU MEAN IT,1
86,love you guys endlessly <url>,1
87,you legend <url>,1
88,me as Pamela Anderson in Barb Wire GO VOTE <url>,1
89,Pamela Anderson in Barb Wire <url>,1
90,lmao actually tho <url>,1
91,thank you for joining youre great REGISTER AND VOTE PEOPLE <url>,1
92,going live tomorrow morning on my IG with @<user> and @<user> to get some questions answered TUNE IN TUNE IN TUNE IN 10am PST <url>,1
93,Chaos Mag by Luigi and Iango <url>,1
94,feeling very blessed everyday <url>,1
95,@<user> i love every room pretty much i say it enough in the video lol,1
96,my @<user> Open Door video of me and my house <url>,1
97,mornings are brighter with @<user> # moonpartnerhttpstcotfzBIGssrN <url>,1
98,Its National MOON Day @<user> # moonpartnerhttpstcotfzBIGssrN <url>,1
99,@<user> love you lots,1
100,hope everyone enjoys <url>,1
101,LIVE NOW AT <url> <url>,1
102,wearing our KENDALL X KYLIE makeup collab and not much else <url>,1
103,my fav ever <url>,1
104,sister <url>,1
105,this is photoshopped by someone i DID NOT post this <url>,1
106,please help get justice for George and his family # JusticeForGeorgeFloyd # BlackLivesMatter <url>,1
107,its out go watch # KirbyJenner on @<user> now happy # nationalbrothersday to my twinhttpstcofyHQzUjM2Q,1
108,new Vogue Japan cover story <url>,1
109,secrets out my twin brother # KirbyJenner has a show drops this sunday on @ Quibi <url>,1
110,How are you really I am proud to stand with @<user> and The Mental Health Coalition to end the stigma against mental health conditions # howareyoureallychallengejoin me <url>,1
111,screensaver <url>,1
112,its just an honor to be there and be able to wear such amazing designers theyre all my fav <url>,1
113,some METs of the past @<user> <url>,1
114,@<user> @<user> today,1
115,Were donating 100 of our net proceeds to @<user> shop now httpstcoYQ9fbCJahL,1
116,we got all the secrets <url>,1
117,they act like im not in full control of where i throw this cooch <url>,1
118,Im working with @<user> to send product to healthcare workers that are heroically fighting COVID19 at the Keck Medicine of USC centers Sending to everyone on the frontlines # moonpartner <url>,1
119,1 week as a blonde remember <url>,1
120,hiiii <url>,1
121,"2 out of 5 accurate, thanks <url>",1
122,just reminiscing in this tough timeSTAY SAFE OUT THERE <url>,1
123,oh hey! whoâ€™s watching #KUWTK ??? https://t.co/tIx6o1dT2N,1
124,Congrats Paris <url>,0
125,pumpkin spice and everything nice for Pariss wedding <url>,0
126,Heart and Soul <url>,0
127,We are keeping all of the victims families and loved ones impacted in our prayers for healing as well as Travis who we know cares so much about his fans and is truly devastated,0
128,Absolutely heartbroken for the lives who were lost and anyone who was hurt at Astroworld Just like all of you our family is in shock by the tragedy,0
129,Added some new items to my # KardashianCloset Check them out now <url>,0
130,Words cant describe my love for you OMG I love you so much mom <url>,0
131,Happy Birthday Mommy @<user> you are ultimate goals You are my hero You are my life Thank you for being the most nonjudgmental loving human being Ive ever met You take care of us all so selflessly <url>,0
132,My baby Kenny @<user> You are the cutest prettiest human alive you actually arent real youre perfect Happy Birthday I love you to infinity and beyond <url>,0
133,Oh just wait <url>,0
134,Thank you so much to the @<user> for the honor of winning the Brand Innovator Award Im wearing our new @<user> x @<user> dress and @<user> jewelry <url>,0
135,I always talk about my skincare and my makeup routine but I never talk about my oral care routine # ad I keep my teeth super white with @<user> Go to <url> amp use code KKW for 10 off to get one in my new favorite colorway # brushBURST # BURSTlavender <url>,0
136,Just dropped new @<user> Silk Shop now at <url> <url>,0
137,More Space Cowboy Halloween vibez <url>,0
138,Halloween Vibezzzzz @<user> @<user> @<user> <url>,0
139,Halloween 2021 CowBot Costume by Manfred Thierry Mugler <url>,0
140,Thank you @<user> amp everyone who marched for @<user> today The Oklahoma Pardon and Parole board voted 31 to recommend clemency and to commute Juliuss sentence to life with the possibility of parole The fight isnt over and he needs to come home # JusticeForJulius,0
141,Happy Birthday to the one and only @<user> Love You babe,0
142,Happy Halloween Ive been having so much fun playing with costumes in my game Be creative and see what you can wear in @<user> <url> <url>,0
143,Just added new items to my # KardashianKloset <url>,0
144,Tune in to @<user> final Haunted House today <url>,0
145,Pinkalicious Balenciaga <url>,0
146,Just dropped @<user> Essential Bodysuits <url> <url>,0
147,new levels of devils <url>,0
148,FENDI X SKIMS Dream Team Fendi Artistic Director of Couture and Womenswear @<user> Steven MeiselStylist @<user> Artist @<user> @<user> <url>,0
149,WSJ MAGAZINE NOVEMBER 2021 <url> <url>,0
150,Introducing FENDI x SKIMS a first of its kind collaboration that unites the luxury of @<user> with the innovation of @<user> This limited edition collection launches on November 9 at 6am PST at <url> # fendiskims <url>,0
151,LAST DAY to shop 25 off sitewide <url> <url>,0
152,Just added new items from my closet to my # KardashianKloset <url>,0
153,Thank you so much for all of the birthday love I love you guys so much <url>,0
154,Come celebrate my birthday with me in my game @<user> <url> <url>,0
155,All the feels <url>,0
156,Have you guys started watching @<user> Its a new feelgood show thats all about second chances and chasing ones dreams Tune in to # TheBigLeap on Mondays at 98c on @<user> and catch up on the latest episodes now on @<user> # AD <url>,0
157,KRAVIS FOREVER @<user> @<user> <url>,0
158,Just added new items to my # KardashianKlosetCheck them out now <url>,0
159,Just dropped new @<user> SLEEP Shop now at <url> <url>,0
160,If you missed the show its now streaming on @<user> <url>,0
161,The amount of work that the entire @<user> team puts in to make a show like this even possible is unmatched Im forever grateful for this experience and to everyone that supported me and worked so hard to make this all possible Thank you <url>,0
162,Sorry I needed a few days to decompress I cant wait to share my incredible SNL content with you over the next few days Hosting Saturday Night Live was probably one of the best experiences of my career <url>,0
163,Just added new items to my # KardashianKloset <url>,0
164,Just dropped new @<user> Waffle <url> <url>,0
165,@<user> <url>,0
166,LIVE at 1130p EST Tomorrow @<user> <url>,0
167,2 more sleeps @<user> <url>,0
168,Just dropped @<user> Soft Lounge <url> <url>,0
169,TATS <url>,0
170,Just dropped @<user> SOCKS exclusively at <url> <url>,0
171,To support ongoing efforts to free Julius Jones donate or pledge here <url> We need to raise 100000 to sustain and scale our campaign before his execution date,0
172,I am so excited to announce that SKIMS is now available Paris Be the first to visit our first European popup at @<user> Haussmann and dont forget to tag us in your photos I cant wait to see <url>,0
173,Introducing @<user> Socks Socks dont get better than this Check out my IG stories for all of the styles Drops Wednesday September 29 at 9AM PT in 4 essential styles <url>,0
174,It was never me I just listened to what my older sister said and friends They were such bad influences and I was perfect and for that Im sorry <url>,0
175,I remember being grounded here for Kourtney stealing your car just to drive it around the block and some how even though I didnt participate I still got in trouble So we had nothing else to do but do photo shoots in the garage <url>,0
176,I saw it was National Daughters Day so this post goes out to my mom and my daughters for when they are teenagers lol North and Chi please be easy on me when youre the age I was in theses pics and Mom Im sorry <url>,0
177,I am so excited to announce that SKIMS will be coming soon to Paris Our first European popup opens on September 28th exclusively at @<user> I cant wait for you to experience everything in person <url>,0
178,OMFG no turning back now LOLIm hosting SNL @<user> <url>,0
179,Megan Fox and Kourtney Kardashian for Skims <url>,0
180,Julius Jones was just given an execution date of Nov 18th despite the Pardon amp Parole Board recommending his sentence be commuted Help us SAVE HIS LIFE by contacting @<user> at <url> amp asking him to commute Julius sentence # JusticeforJulius @<user> <url>,0
181,The universe can give you every sign you need but you see what you wan na see when youre ready to see it <url>,0
182,Join me in the front row to get style inspo Play @<user> to wear iconic looks and walk the runway at fashion week <url> <url>,0
183,Added new items to my # KardashianKlosetCheck them out now <url>,0
184,Tune in to Ellen today @<user> <url>,0
185,Just drop new @<user> Lace Pointelle <url> <url>,0
186,Whats more American than a Tshirt head to toe <url>,0
187,Balenciaga Met 2021 <url>,0
188,The final decision will be up to Gov Kevin Stitt,0
189,Thank you Adam Luck Kelly Doyle and Larry Morris for your courage and integrity today Their votes to recommend commutation of his death sentence to life with the possibility of parole mark the first moment of # JusticeforJuliusJones,0
190,By a vote of 3 to 1 the Oklahoma Pardon and Parole Board recommended sentence commutation for death row inmate Julius Jones,0
191,Coming soon @<user> Lace Pointelle Dropping Wednesday September 15 at 9AM PT <url> <url>,0
192,Day 1 @<user> <url>,0
193,I officially miss going out # FBF <url>,0
194,Just dropped @<user> Teddy and NEW Outdoor Basics <url> <url>,0
195,Introducing @<user> Teddy our first allweather collection Drops Thursday September 9 at 9AM PT <url> <url>,0
196,@<user> @<user> Kylie Nude Lips amp the Crystals are my fave,0
197,FINAL HOURS of our # LaborDay Sale Shop 25 off our bestselling @<user> until TONIGHT at 1159PM PT No code needed Exclusions apply <url> # KKWFRAGRANCE <url>,0
198,Just added more items to my # KardashianKloset <url>,0
199,Our # LaborDay Sale is on Enjoy 25 off our bestselling @<user> through Monday 96 at 1159PM PT No code needed Exclusions apply <url> # KKWFRAGRANCE <url>,0
200,Added new items to my # KardashianKloset Check them out now <url>,0
201,The # EssentialNudes is now available Shop the new @<user> collection at <url> and enjoy 25 off our bestselling products during our Labor Day Sale Exclusions apply <url> # KKWFRAGRANCE <url>,0
202,New @<user> Fits Everybody just dropped <url> <url>,0
203,Oklahoma is trying to execute an innocent man on October 28th Julius Jones has been on death row for over 20 years for a murder he did not commit @<user> Take action to demand # JusticeForJulius now <url> <url>,0
204,Ive been keeping up with all my fans in @<user> Hope to see you there <url> <url>,0
205,New @<user> Velour just dropped <url> <url>,0
206,BALENCIAGA HAUTE COUTURE <url>,0
207,DONDA <url>,0
208,Just added new items to my # KardashianKloset Check them out now <url>,0
209,New @<user> Velour dropping Tuesday 831 at 9AM PT <url> <url>,0
210,I am so excited to announce that SKIMS is now available in Australia exclusively at @<user> Shop the SKIMS pieces you love now at <url> <url>,0
211,Our Star Search audition Clearly we didnt get 4 starsbut Kris Jenner did for our outfits <url>,0
212,Just dropped @<user> Twist <url> <url>,0
213,Have you made it to the A List yet Keep your phone close by because you never know who might call @ KKHOfficial <url> <url>,0
214,Introducing @<user> Essential Nudes I wanted to create a collection that was so me All four fragrances are lush and feminine but very special and different from each other Launching on Thursday 92 at 12PM PT exclusively at <url> # EssentialNudes <url>,0
215,Coming Soon @<user> Twist @<user> Drops Wednesday 825 at 9 AM PTPhoto @<user> <url>,0
216,Have you guys seen all the amazing pets in @<user> Theyre so cute <url> <url>,0
217,You guys today is the day # PAWPatrolMovie is NOW PLAYING in theatres and on @<user> Get your tickets at <url> <url>,0
218,On our way to see the new Paw Patrol Movie to see our mom Delores its in theaters today <url>,0
219,Just dropped @<user> Mesh Foundations <url> <url>,0
220,You never know who you might meet in Kim Kardashian HollywoodhttpstcoRY2SoA2Ous <url>,0
221,Never seen a love like this before <url>,0
222,My first photo shoot ever <url>,0
223,Coming Soon @<user> Mesh Foundations The solutionfocused foundations you need in your drawers with innovative designs that support sculpt and mold This is mesh with a difference Drops Wednesday August 18 at 9AM PT in 7 styles and 6 colors at <url> <url>,0
224,The Medical Kidnapping Of Amen Ra Part 2 Watch the full video on IGTV <url> <url>,0
225,The Medical Kidnapping Of Amen Ra Part 1 Watch the full video on IGTV <url> <url>,0
226,Everyone please read and spread this story is absolutely heart<break>ing How a mother could go and seek help for her baby that is not wanting to eat they take the baby into foster care and remove her newborn baby with no reports of abuse @<user> <url> <url>,0
227,OMG my boys are so cute,0
228,Bedtime with my boys <url>,0
229,Just added some new items to my # KardashianKloset Check them out now <url>,0
230,Received a free @<user> Trio Purse Spray with your next order of Emerald Diamond fragrance Add Emerald Diamond to cart gift added automatically Offer ends Sunday 815 at 1159PM PT <url> <url>,0
231,Just dropped new @<user> Soft Lounge Available now at <url> <url>,0
232,Im on this weeks episode of We Are Supported By with @<user> @<user> and Monica Padman Check it out at @<user> # WeAreSupportedBy httpstcow54474xiyY,0
233,FINAL HOURS Only a few hours left to save 24 off Kylie Jenner by @<user> collection to celebrate @<user> birthday Add to cart No code needed Ends TONIGHT at 1159PM PT only at <url> <url>,0
234,Celebrating your today and always I love you <url>,0
235,Kylie baby 24 karat gold birthday today @<user> you really have a heart of gold and a soul of platinum I am so proud to be your sister You always stay so true to yourself always and its so admirable to watch you grow up being the best mom <url>,0
236,S O O N C O M E <url>,0
237,OBVS <url>,0
238,Happy Birthday @<user>,0
239,Yep Whats up guys <url>,0
240,Now this I agree with so much <url>,0
241,Well said <url>,0
242,Whats crazy is I dont really see that but everyone says it <url>,0
243,resting beach face <url>,0
244,The premiere of # CookingWithParis is now streaming today on @<user>!!! Watch @<user> and I on the premiere episode now <url>,0
245,Anyone else having Instagram slowness glitz problems,0
246,Really People say this all the time Why do I think hes my twin <url>,0
247,New @SKIMS Fits Everybody styles just dropped!!! Shop now at https://t.co/Qsy51S3rtD https://t.co/43y6G1Kjhm,0
248,daddy got us matching rings <url>,2
249,just dropped my new clean and vegan setting powders <url> @<user> <url>,2
250,lip swatches of my nightmare on elm street lip shine lacquer set <url> <url>,2
251,MY NIGHTMARE ON ELM STREET COLLECTION NOW LIVE ON <url> happy halloween <url>,2
252,one hour to go <url> <url>,2
253,3 hours to go until my KYLIE X NIGHTMARE ON ELM STREET collection drops 3pm pst on <url> <url>,2
254,restocking my @<user> sets bundles and moisturizing lotion at 9am pst today <url> <url>,2
255,KYLIE X NIGHTMARE ON ELM STREET collection launching 1012 im wearing our Freddy eyeshadow palette here amp Only A Dream lip lacquer @<user> <url>,2
256,tomorrow I will be restocking my @<user> moisturizing lotion and bundles that sold out on launch day <url>,2
257,IN YOUR DREAMS wearing ELM STREET lip lacquer from my Nightmare on Elm Street collection launching 1012 @<user> <url>,2
258,KYLIE X NIGHTMARE ON ELM STREET exclusive collection launches 1012 @<user> <url>,2
259,KYLIE X NIGHTMARE ON ELM STREET ahhh what a DREAM to collaborate with the icon of horror reveal happening right now on my IG stories launching 1012 @<user> <url>,2
260,can you guess who we collaborated with this year for halloween collection reveal coming today @<user> <url>,2
261,my NEW @<user> watermelon lip oil just dropped <url> <url>,2
262,Kylie Baby is LIVE on <url> <url>,2
263,30 minutes to go @<user> <url> <url>,2
264,Kylie Baby launches tomorrow <url> <url>,2
265,how cute is this video we shot for KYLIE BABY almost a year ago 4 more days till my new clean baby care line launches on <url> 928 @<user> <url>,2
266,KYLIE BABY vegan and clean baby care 928 <url> @<user> <url>,2
267,im ready for fall <url>,2
268,my Caicos and Kylie one pieces are sold out You can still shop my other one pieces triangle styles and sarongs at <url>,2
269,were live @<user> <url> <url>,2
270,20 mins until @<user> launches <url>,2
271,Its KYLIE SWIM DAY my first drop ever for @<user> launches TODAY at 3pm pst on <url> im soooo excited to share this with you guys <url>,2
272,just launched my new Kylie vanity trunk on <url> @<user> <url>,2
273,im so excited to finally share this new project with you @<user> launches this FRIDAY the 17th on <url> this first drop is so special to me i cant wait for you guys to see everything we have coming <url>,2
274,last day to shop my sitewide 25 off sale Use code AFTERPAYDAY at <url> and <url> <url>,2
275,I added new items to my online closet Shop at <url> # KardashianKloset,2
276,get 25 off sitewide with code AFTERPAYDAY on <url> and <url> @<user> @<user> <url>,2
277,last day to shop my @<user> Labor Day sale Buy one get one FREE on matte liquid lipsticks <url>,2
278,matte lip favs its buy one get one FREE on all of my matte liquid lipsticks this Labor Day weekend at <url> @<user> <url>,2
279,LABOR DAY WEEKEND SALE HAPPENING RIGHT NOW buy a matte lip and get one free <url> <url>,2
280,my Labor Day weekend sale starts in 25 mins Buy one get one FREE on my my matte liquid lipsticks at <url> 9am pst,2
281,soon @<user> <url>,2
282,last day to get up to 50 off my @<user> minis SPF and accessories <url> <url>,2
283,Get up to 50 off my minis accessories and SPF Hurry sale ends tomorrow <url> <url>,2
284,favorite girl <url>,2
285,my @<user> mini fridge is back <url> <url>,2
286,one of my favorite palettes Ive ever launched <url> <url>,2
287,obsessed with my new lip shine lacquer formula <url> <url>,2
288,THE 24K COLLECTION IS OFFICIALLY LIVE head over to <url> before its gone @<user> <url>,2
289,10 minutes until my 24k Birthday Collection launches on <url>,2
290,THE 24K BIRTHDAY COLLECTION LAUNCHES TOMORROW i couldnt be more excited to share these new products with you guys and i just know you will fall in LOVE with all these formulas love ya guys and see you at 9am pst @<user> <url> xx <url>,2
291,3 more days till my limited edition 24K BIRTHDAY COLLECTION LAUNCHES on 810 @<user> <url>,2
292,obsessed with this bday collection look using my new body glow eyeshadow palette all over gloss and lip lacquer launching AUGUST 10th @<user> <url>,2
293,glowing my 24K BIRTHDAY COLLECTION drops on my bday August 10th im wearing my brand new body glow here that i cant wait for you guys to experience @<user> <url> <url>,2
294,my new clean and vegan @<user> products are officially available at @<user> stores across the country and online today <url>,2
295,last few hours to get your free @<user> goodies when you shop Lip Kits at <url>,2
296,so excited that my new clean and vegan @<user> products will launch in @<user> in all stores and online on August 1,2
297,win signed lip kits plus every lip kit shade now on Kylie Cosmetics Instagram,2
298,giving away FREE @<user> goodies with every Lip Kit purchase on <url> for # NationalLipstickDay <url>,2
299,leo season loading <url>,2
300,theres a lot of people trying to get on the site so stay tuned guys while we get it back up,2
301,the last episode of INSIDE KYLIE COSMETICS just went live on my youtube channel and @<user> officially launches in an hour enjoy <url>,2
302,1 hour to go <url> @<user> 9am PST,2
303,KYLIE COSMETICS OFFICIALLY RELAUNCHES TOMORROW AT 9AM PST i have a very special live experience happening on the site tomorrow so stay tuuuuned <url> @<user> <url>,2
304,ALL NEW @<user> LAUNCHES IN 2 DAYS some of my favorite glosses this new formula has a mirror shine finish lip loving oils and non sticky formula 71521 <url>,2
305,episode 2 of INSIDE KYLIE COSMETICS is officially live go check it out on my youtube channel just 3 more days till @<user> relaunches <url>,2
306,love you <url>,2
307,so happy you guys liked episode one of Inside Kylie Cosmetics and i cant wait for this relaunch on the 15th @<user>,2
308,thats love thank u <url>,2
309,episode 1 of INSIDE KYLIE COSMETICS just went live on my youtube channel i wanted to do something special for you guys in honor of the @<user> relaunch on the 15th enjoyyy <url>,2
310,my new youtube video airs at 9am pst <url>,2
311,all the newness dropping july 15th @<user> <url>,2
312,finally my two new body products are now available on <url> my first ever coconut body wash and my favorite body lotion now in our signature rose scent <url>,2
313,you have no idea <url>,2
314,just being w my family <url>,2
315,theyre also Vivienne Westwood <url>,2
316,shes here with me running around in her tinker bell dress lol <url>,2
317,yesss <url>,2
318,thank uuuuuu bae <url>,2
319,thank u <url>,2
320,Vivienne Westwood <url>,2
321,# KUWTKReunion starting now whos watching,2
322,my @<user> limitededition glossy lip balm sets are BACK <url> <url>,2
323,my lip balm set is back this sold out in minutes last time so I had to bring it back for you guys for the summer Two heartsSparkles Restocking TOMORROW at 9am pst on <url> Tropical Berry Mai Tai Mint Honey Vanilla Watermelon <url>,2
324,i just saw this but yes tmz too lol <url>,2
325,im not discrediting anyone who is in an open relationship but its just careless and disrespectful to throw this narrative out there without knowing whats true,2
326,you guys really just make up anything <url>,2
327,i spy with my little eye <url>,2
328,So amazing seeing my @<user> displays in Selfridges!! All @<user> stores in the UK are officially open now! <url>,2
329,thanks @<user> for letting me take over <url> <url>,2
330,Im giving away free mini clarifying facial oils on <url> @<user> <url>,2
331,where to now <url>,2
332,my new makeup melting cleanser is here <url> i really wanted to create something new that made removing your makeup effortless and efficient my makeup melting cleanser literally dissolves even the toughest makeup and has made my nights a whole lot easier <url>,2
333,fittings <url>,2
334,my new makeup melting cleanser launches TOMORROW at 9am pst on <url> im soooo excited for you guys to finally try see ya there @<user> <url>,2
335,double cleanse with meee i really wanted to create something new that made removing your makeup effortless and efficient my makeup melting cleanser literally dissolves even the toughest makeup and has made my nights a whole lot easier May 11th <url> <url>,2
336,tinkerbell <url>,2
337,my secret to soft smooth lips Get my sugar lip scrub for 15 now through Sunday 1159pm pst <url> @<user> <url>,2
338,shop my Mothers Day gift guide including @<user> favorites bundle for 25 off <url> <url>,2
339,ladies and gentlemen her <url>,2
340,its business baby <url>,2
341,didnt see you there <url>,2
342,its the weekend <url>,2
343,been really focusing on me <url>,2
344,leave em on red <url>,2
345,MY SOLD OUT LIP OIL IS BACK IN STOCK the shine of a lip gloss with the moisturesealing effects of a balm Formulated with an innovative Lip Plump Complex Vitamin E Coconut Oil this nonsticky oil softens pampers your lips <url> vid by @<user> <url>,2
346,FROM ANOTHER PLANET <url>,2
347,no filter happy monday <url>,2
348,a beautiful day in the neighborhood <url>,2
349,last chance to get 20 off in my AFTERPAYDAY sale <url> <url>,2
350,the cherry on top <url>,2
351,AfterPay Day starts now 20 off sitewide at <url> <url>,2
352,new drunk get ready with me featuring @<user> just went live <url>,2
353,just launched my new @<user> hand cream Get the bundle with my hand sanitizer I take mine everywhere for clean nourished and soft hands <url> <url>,2
354,got something new coming soon @<user> <url>,2
355,the main character <url>,2
356,miss jenner <url>,2
357,@<user> inspired nails pink or chrome <url>,2
358,a leo sun scorpio moon baddie <url>,2
359,Happy International Womens Day Get 10 off when you spend 30 or more on <url> A portion of proceeds will be going to @<user> <url>,2
360,# internationalwomensday <url>,2
361,Kylie Kevin <url>,2
362,those puppy eyes <url>,2
363,youre cute jeans <url>,2
364,morning <url>,2
365,oh hi my lip oil restocked today @<user> <url> <url>,2
366,less is more <url>,2
367,my lip oil is restocked now <url> <url>,2
368,kevin <url>,2
369,just restocked some lip kits on <url> which shade is your favorite <url>,2
370,thank u guysss,2
371,swimming into 2021 <url>,2